Time (years),sun Energy (J),mercury Energy (J),venus Energy (J),earth Energy (J),mars Energy (J),jupiter Energy (J),saturn Energy (J),uranus Energy (J),neptune Energy (J),System Total (J)
5.7,-3.919517588815844e+35,-1.4177451267286424e+32,-1.8109217297664902e+33,-1.9997789307115223e+33,-1.7192005277803896e+32,-1.625467181679408e+35,-2.6631649566781195e+34,-1.9421317065549248e+33,-1.5036606973198726e+33,-5.8870031424611e+35
5.8,-3.9193374637453734e+35,-1.4102176394151293e+32,-1.8025664304764786e+33,-1.9925970195410128e+33,-1.7155008824816656e+32,-1.6253597458170962e+35,-2.6633853925186474e+34,-1.9421596512627854e+33,-1.5036662777120305e+33,-5.886571361126153e+35
5.9,-3.919217256835423e+35,-1.4018788613450323e+32,-1.79473792549264e+33,-1.9851022038704333e+33,-1.711987325805004e+32,-1.6252413999048951e+35,-2.66360891457853e+34,-1.942187546250737e+33,-1.5036716339907404e+33,-5.8861904074813675e+35
6.0,-3.919044616558652e+35,-1.3928158562513512e+32,-1.787400391488463e+33,-1.9774278271370072e+33,-1.708708785629179e+32,-1.6251125014092887e+35,-2.6638350611011295e+34,-1.9422153143346915e+33,-1.5036767517818408e+33,-5.885749351567354e+35
6.1000000000000005,-3.918716325089786e+35,-1.383582206118426e+32,-1.78044439168551e+33,-1.9697336530320218e+33,-1.705700270859418e+32,-1.624973321698114e+35,-2.6640633294299875e+34,-1.9422429175116108e+33,-1.5036816288468072e+33,-5.885146288118636e+35
6.2,-3.918194833456164e+35,-1.3749518242296864e+32,-1.773701632463753e+33,-1.96218618888662e+33,-1.702980322749913e+32,-1.624824056294318e+35,-2.664293340964657e+34,-1.942270341563498e+33,-1.5036862667205925e+33,-5.884344600290272e+35
6.3,-3.917519251264331e+35,-1.3673388604401023e+32,-1.7669866379730942e+33,-1.954940807874185e+33,-1.700549450048399e+32,-1.6246648353475095e+35,-2.664524933086495e+34,-1.9422975626258816e+33,-1.503690661288727e+33,-5.883383624928598e+35
6.4,-3.916766676821801e+35,-1.360677913187382e+32,-1.7601478451593835e+33,-1.9481254954226524e+33,-1.6983897557931017e+32,-1.6244956707744077e+35,-2.6647580309086373e+34,-1.9423245282705326e+33,-1.503694800747442e+33,-5.8823401450520534e+35
6.5,-3.916014100283555e+35,-1.3547015850242728e+32,-1.7531022835048882e+33,-1.9418255459544937e+33,-1.6964659297345615e+32,-1.624316414459699e+35,-2.6649924719954443e+34,-1.9423511649578182e+33,-1.5036986716626046e+33,-5.8812907061183545e+35
6.6000000000000005,-3.9153204777436326e+35,-1.3491380683939514e+32,-1.7458397451909757e+33,-1.9360701983881497e+33,-1.6947276790331485e+32,-1.6241269002792793e+35,-2.665227946444871e+34,-1.942377402152253e+33,-1.503702267884338e+33,-5.8802939345509845e+35
6.7,-3.9147224543526984e+35,-1.343759856568106e+32,-1.7384029032030438e+33,-1.9308243557710404e+33,-1.693113512316138e+32,-1.6239272979705537e+35,-2.6654640218450936e+34,-1.9424031972098852e+33,-1.5037055962568782e+33,-5.879386388401054e+35
6.8,-3.9142369598270834e+35,-1.338373591785843e+32,-1.7308645916585845e+33,-1.9259895902214713e+33,-1.691555622768185e+32,-1.6237181854440605e+35,-2.665700210754204e+34,-1.942428545722669e+33,-1.5037086757113716e+33,-5.8785850095942594e+35
6.9,-3.9138655945917e+35,-1.3327997829650538e+32,-1.723314869758325e+33,-1.9214172887690423e+33,-1.6899854447563895e+32,-1.6235002098082813e+35,-2.6659360863366834e+34,-1.9424534704966866e+33,-1.5037115306932192e+33,-5.877891169858545e+35
7.0,-3.913596375678886e+35,-1.3268612569659269e+32,-1.715853404614662e+33,-1.9169329742536024e+33,-1.6883391012827118e+32,-1.6232738823157572e+35,-2.6661713954709472e+34,-1.9424779974251116e+33,-1.5037141833398538e+33,-5.87729238349632e+35
7.1000000000000005,-3.913400382268087e+35,-1.3203995676855788e+32,-1.7085824503253512e+33,-1.9123664203778832e+33,-1.6865602841018428e+32,-1.6230396011637373e+35,-2.666406056085018e+34,-1.9425021344347903e+33,-1.5037166491987145e+33,-5.87675922543548e+35
